==========] Running 26 tests from 4 test suites.
[----------] Global test environment set-up.
[----------] 16 tests from SiliconDriverWH
[ RUN      ] SiliconDriverWH.OneDramOneTensixNoEthSocDesc
2025-09-09 14:30:44.814 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.814 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.816 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.851 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.874 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.874 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.874 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.874 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.875 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.912 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.934 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.935 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.935 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.935 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.936 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.972 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.996 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
